code,name,2010-07,2015-07,2020-07,2025-07,2030-07,2035-07,2040-07,2045-07,2050-07,2055-07,2060-07,2065-07,2070-07,2075-07,2080-07,2085-07,2090-07,2095-07,2100-07
GNB,Guinea-Bissau,863514,882459,890864,866506,824762,775233,713535,644799,575053,507105,443166,386485,335124,290601,251872,218094,189571,164548,143351
GNQ,Equatorial Guinea,13053,14287,17945,18260,19351,20412,21308,22107,23087,24029,24921,25644,26307,27057,27816,28394,28799,28970,28924
GRC,Greece,3,3,2,2,2,2,2,3,4,5,7,10,13,19,27,38,53,73,99
GTM,Guatemala,1912404,1981794,2122778,2118089,2096176,2098019,2068309,2015984,1944161,1849698,1738112,1612576,1474995,1327362,1176545,1028582,885559,749459,622024
GUY,Guyana,69308,39888,27109,20390,17102,14840,12481,10154,8146,6576,5477,4514,3527,2630,1955,1498,1226,1017,840
HKG,HKG,10783,7829,5544,4658,4342,4169,4059,4070,4218,4459,4764,5068,5228,5364,5575,5833,6121,6388,6540
HND,Honduras,1751308,1777777,1741756,1668317,1601026,1548798,1486159,1418301,1349347,1279436,1208500,1139708,1066866,993800,923964,858593,796515,738099,682967
HRV,Croatia,9,6,3,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,6
HTI,Haiti,6073790,5750641,5370380,4925777,4514467,4162349,3798414,3452842,3133135,2824721,2532341,2263228,2012112,1781838,1578245,1400630,1244576,1108665,990693
HUN,Hungary,,,,,,,,,,,,1,1,1,2,2,3,4,6
IDN,Indonesia,26837016,14963246,7409922,3933568,2445151,1717415,1237542,947547,767204,641401,550231,473287,401271,341066,290896,252324,229905,210142,191884
IND,India,197723140,140246080,110123170,97171010,91957660,87779940,86562300,89226696,94876480,102272060,111061656,121205736,133037440,146800030,162822540,181134510,201560420,224181400,249036380
IRL,Ireland,,,,,,,,,,1,1,1,2,3,4,6,8,11,15
IRN,Islamic Republic of Iran,1720213,1864602,1655967,1363150,1133138,887888,703364,595576,533229,487099,434078,368654,332202,304203,284838,272873,267780,264557,262972
IRQ,Iraq,3003932,1234934,570483,423060,277210,179245,149512,140787,155451,191484,244069,301627,348655,370269,362562,326456,259528,195126,139381
ISL,Iceland,,,,,,,,,,,,,,,,,,,
